Word,DominantModality,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity,RandomSet,N
blacken,Haptic,2.5,2.666666667,0.666666667,0.333333333,0.5,0.35,yes,6
blare,Auditory,0,0.666666667,4.5,0,0,0.870967742,no,6
blast,Haptic,1.833333333,2.333333333,2,0.5,0.333333333,0.285714286,no,6
bolt,Visual,2.777777778,2.333333333,1.888888889,0,0.222222222,0.384615385,yes,9
boom,Auditory,1.555555556,1.444444444,4.222222222,0,0.111111111,0.575757576,no,9
border,Haptic,2,3,0.4,0.2,0,0.535714286,no,5
borrow,Haptic,1.8,3.2,1,0.2,0.4,0.454545455,yes,5
box,Haptic,2,4,0.4,0,0,0.625,yes,5
brace,Haptic,3,4.6,0.6,0,0,0.56097561,yes,5
breathe,Olfactory,0,0.888888889,0.111111111,0.444444444,1.777777778,0.551724138,no,9
brush,Haptic,0.571428571,4.571428571,0.571428571,0,0,0.8,no,7
buzz,Auditory,0.142857143,0.142857143,4.714285714,0,0,0.942857143,no,7
cackle,Auditory,0.888888889,0,3.888888889,0,0,0.813953488,no,9
caress,Haptic,1.166666667,4.833333333,0.333333333,0,0,0.763157895,no,6
catch,Haptic,3,4.666666667,0.666666667,0.333333333,0.166666667,0.509433962,no,6
caw,Auditory,0.333333333,0,1.333333333,0,0,0.8,no,6
change,Visual,2.142857143,1.714285714,0,0,0,0.555555556,yes,7
chatter,Auditory,0.833333333,1,3.333333333,0,0,0.64516129,no,6
check,Visual,3.777777778,1.555555556,1,0.888888889,0.777777778,0.375,no,9
chew,Gustatory,0,1.2,0.2,4.6,0.4,0.71875,no,5
chime,Auditory,0.833333333,0.5,4.166666667,0,0,0.757575758,no,6
clang,Auditory,0.714285714,0.571428571,4.142857143,0,0,0.763157895,no,7
clank,Auditory,0.8,2.6,4.4,0,0,0.564102564,no,5
clap,Haptic,1,4.272727273,2.545454545,0,0,0.546511628,no,11
clatter,Auditory,0.571428571,0.571428571,4.857142857,0,0,0.80952381,no,7
clink,Haptic,1.6,2.8,2.4,0,0.2,0.4,no,5
complain,Visual,2.666666667,0.833333333,2,0.666666667,0.666666667,0.292682927,yes,6
concentrate,Visual,1.8,0.6,1.4,1.2,1.4,0.1875,yes,5
consider,Auditory,1.666666667,0.166666667,2.333333333,0.166666667,0.166666667,0.481481481,no,6
contact,Haptic,1.833333333,3,1.5,1,0.5,0.319148936,no,6
contemplate,Auditory,1.666666667,0.5,1.833333333,0.333333333,0.333333333,0.321428571,no,6
contend,Visual,2.4,1.4,1.6,1.4,1.4,0.12195122,yes,5
converge,Visual,2.333333333,1.833333333,0.666666667,0,0,0.482758621,no,6
corrupt,Visual,1.666666667,1.666666667,0,0,0,0.5,yes,6
cough,Auditory,0.333333333,1.333333333,2.666666667,1.5,0.5,0.368421053,yes,6
crack,Auditory,2.333333333,2.833333333,3.166666667,0,0,0.38,no,6
crackle,Auditory,0.666666667,1.5,4,0,0,0.648648649,no,6
crash,Haptic,2.818181818,3.272727273,2.181818182,0,0,0.395604396,no,11
criticize,Auditory,1.727272727,0.454545455,2.909090909,0.272727273,0.181818182,0.491803279,yes,11
croak,Auditory,1.8,0.6,2.6,0.4,0.8,0.35483871,no,5
denotate,Auditory,2,0.666666667,2.333333333,0,0.166666667,0.451612903,yes,6
depart,Visual,2.166666667,2.166666667,0.833333333,0.166666667,0.166666667,0.363636364,yes,6
descry,Visual,2.8,1,1.8,1,0.8,0.27027027,no,5
detect,Visual,3.111111111,1.666666667,2.444444444,1.777777778,2.111111111,0.13,no,9
differentiate,Visual,3.545454545,2.363636364,1.909090909,2.090909091,1.909090909,0.138461538,no,11
ding,Auditory,0.375,0.375,3.625,0,0,0.828571429,no,8
dip,Haptic,2.666666667,3.333333333,0,0.333333333,0,0.526315789,yes,6
discern,Visual,2.666666667,1.5,1.833333333,1.5,1,0.196078431,no,6
discriminate,Visual,3.222222222,2.111111111,2.666666667,2.444444444,2.111111111,0.088495575,yes,9
disobey,Auditory,1.833333333,1,2.666666667,0.833333333,0.166666667,0.384615385,yes,6
dissect,Haptic,2.818181818,3.181818182,0.363636364,0.181818182,0.363636364,0.434210526,yes,11
distinguish,Visual,3.363636364,2.636363636,1.909090909,1.818181818,2.272727273,0.128787879,no,11
distribute,Visual,2.833333333,2.166666667,0.5,0,0,0.515151515,yes,6
disturb,Haptic,0.833333333,3.833333333,0.833333333,0.333333333,0.5,0.552631579,no,6
do,Haptic,2.090909091,3.090909091,1.818181818,1.545454545,1.454545455,0.163636364,yes,11
down,Haptic,0.8,1.4,0,1.4,0,0.388888889,yes,5
drag,Haptic,2.333333333,4.5,0.833333333,0,0,0.586956522,yes,6
dry,Haptic,0.625,2.75,0,0,0,0.814814815,yes,8
eat,Gustatory,2.333333333,3,1.222222222,4.777777778,3.777777778,0.235294118,no,9
eavesdrop,Auditory,2.833333333,0.5,4.833333333,0,0.5,0.557692308,no,6
echo,Auditory,0.333333333,0.5,4.833333333,0,0,0.852941176,no,6
effect,Haptic,1.272727273,2.090909091,1.090909091,1,1,0.169014085,yes,11
emanate,Visual,2.833333333,0.5,1.333333333,0.166666667,1.333333333,0.432432432,no,6
emphasize,Auditory,0.714285714,0.428571429,1.714285714,0,0,0.6,yes,7
emulate,Visual,2.428571429,0.428571429,1.285714286,0.142857143,0.142857143,0.516129032,yes,7
endure,Haptic,1.625,3.125,2,1.75,1.75,0.146341463,no,8
enjoy,Visual,2.625,2.625,2.25,2.375,2,0.052631579,no,8
espy,Visual,4,0,0,0,0,1,no,2
examine,Visual,5,4.166666667,2.666666667,1.666666667,2,0.215053763,yes,6
exchange,Visual,2.714285714,2.285714286,0.714285714,0,0,0.475,yes,7
exhale,Olfactory,0.5,0.833333333,0.666666667,0.5,1,0.142857143,no,6
exist,Visual,4,3.909090909,3.090909091,2.636363636,2.727272727,0.083333333,yes,11
experience,Visual,4.333333333,3.833333333,4.166666667,3.5,3.833333333,0.042372881,no,6
explore,Visual,4.222222222,4.111111111,2.888888889,2.222222222,2.222222222,0.127659574,no,9
expose,Visual,3.5,2.166666667,1.666666667,0.333333333,0.666666667,0.38,yes,6
extend,Haptic,1.777777778,2.333333333,0.444444444,0,0,0.512195122,yes,9
eye,Visual,4.666666667,0,0,0,0,1,no,6
feature,Visual,3,0.5,1.666666667,0.5,0.333333333,0.444444444,yes,6
feel,Haptic,0.142857143,4.857142857,0.142857143,0.285714286,0.142857143,0.846153846,no,7
filter,Visual,2.363636364,2.090909091,1.272727273,0.818181818,0.818181818,0.209876543,yes,11
finger,Haptic,0.571428571,5,0,0,0,0.897435897,no,7
flit,Haptic,1,2.8,0.6,1.4,1.2,0.314285714,yes,5
flog,Haptic,0.571428571,2.571428571,0.142857143,0,0,0.782608696,yes,7
fondle,Haptic,0.727272727,4.818181818,0,0,0,0.868852459,no,11
fumble,Haptic,2.333333333,4,1,0,0,0.545454545,no,9
gabble,Haptic,0.4,2,1.2,0,0,0.555555556,no,5
gape,Visual,2.2,2,1,0.6,1,0.235294118,no,5
gawk,Visual,4.888888889,0.111111111,0.333333333,0,0.333333333,0.862745098,no,9
gaze,Visual,4.857142857,0,0,0,0,1,no,7
generate,Haptic,1.6,2,0.8,0.6,0.6,0.25,yes,5
get,Haptic,2.333333333,3.333333333,1,0.333333333,0.166666667,0.441860465,no,6
give,Haptic,1.545454545,2.363636364,0.636363636,0.363636364,0.363636364,0.379310345,yes,11
glance,Visual,4.428571429,0,0,0,0,1,no,7
glimpse,Visual,4.636363636,0,0,0,0,1,no,11
goggle,Visual,4.571428571,0.428571429,0.285714286,0,0,0.864864865,no,7
govern,Auditory,1.8,0.4,2.8,0.6,0.6,0.387096774,yes,5
graze,Haptic,2,2.333333333,0.5,2.333333333,0.833333333,0.229166667,no,6
grope,Haptic,0.428571429,5,0,0,0,0.921052632,no,7
hail,Visual,2.8,1.6,0.6,0,0,0.56,yes,5
hammer,Haptic,3.166666667,3.833333333,2.5,0,0,0.403508772,yes,6
handle,Haptic,1.666666667,4.5,0.333333333,0.833333333,0.333333333,0.543478261,no,6
hark,Auditory,2.333333333,0.555555556,3.555555556,0.555555556,0.555555556,0.397058824,no,9
heal,Haptic,1.428571429,3.142857143,0.428571429,0,0.285714286,0.594594595,yes,7
hear,Auditory,0,0.166666667,4.833333333,0,0,0.966666667,no,6
hearken,Auditory,1.833333333,0.333333333,3.333333333,0,0.166666667,0.588235294,no,6
heed,Auditory,1.666666667,0.833333333,2.166666667,0.166666667,0.166666667,0.4,no,6
hit,Haptic,2.333333333,4.222222222,1.666666667,0.666666667,0.555555556,0.388235294,no,9
hold,Haptic,0.714285714,4.857142857,0,0,0,0.871794872,no,7
hum,Auditory,0.166666667,0.666666667,4.333333333,0.166666667,0,0.8125,no,6
identify,Visual,4.111111111,2.777777778,2,1.666666667,1.555555556,0.211009174,no,9
impress,Visual,3.222222222,1.888888889,2.444444444,0.888888889,1.222222222,0.24137931,yes,9
incorporate,Haptic,1.142857143,3.142857143,1.571428571,0.285714286,0,0.511627907,yes,7
incriminate,Auditory,1.571428571,0,1.857142857,0,0,0.541666667,yes,7
inhale,Olfactory,0.444444444,0.777777778,1.222222222,1.888888889,4.666666667,0.469135802,no,9
insist,Auditory,2.125,1,2.25,0,0,0.418604651,yes,8
inspect,Visual,4.5,3.166666667,1.833333333,0.333333333,0.333333333,0.409836066,no,6
interrupt,Auditory,2.6,1.4,3,0.8,0.8,0.255813953,yes,5
jabber,Auditory,0.555555556,0.555555556,3.111111111,0,0.111111111,0.717948718,no,9
jangle,Auditory,0.857142857,2.142857143,3.285714286,0,0,0.522727273,no,7
journey,Visual,2.75,1.375,1.375,0.125,0.375,0.4375,yes,8
jump,Haptic,0.666666667,2.444444444,0,0,0,0.785714286,yes,9
justify,Auditory,0.857142857,0.428571429,1.714285714,0.428571429,0.428571429,0.333333333,yes,7
keep,Haptic,0.5,3.25,0.375,0,0,0.787878788,yes,8
kiss,Haptic,2.8,4,1.2,2.2,1,0.267857143,no,5
know,Auditory,1.222222222,1.333333333,2.111111111,0.666666667,0.666666667,0.240740741,no,9
label,Visual,3.666666667,3.333333333,1.777777778,1.444444444,1.333333333,0.201923077,yes,9
leave,Visual,2.833333333,2,2,0,0.166666667,0.404761905,yes,6
license,Visual,1.833333333,1.833333333,0.666666667,0,0,0.423076923,yes,6
lick,Gustatory,0.833333333,1.166666667,0.666666667,4.666666667,0.833333333,0.489795918,no,6
listen,Auditory,0,0,5,0,0,1,no,6
look,Visual,5,0.714285714,0,0,0,0.875,no,7
loosen,Haptic,2.166666667,4.5,0.333333333,0,0,0.642857143,yes,6
lubricate,Haptic,2.833333333,4.166666667,0.166666667,0,0.333333333,0.555555556,yes,6
manipulate,Haptic,1.5,4.333333333,1,0,0,0.634146341,no,6
mark,Visual,3.5,2.833333333,0.833333333,0,0,0.488372093,no,6
massage,Haptic,1.181818182,4.818181818,0,0,0,0.803030303,no,11
maul,Haptic,1.8,3.8,0.2,0.8,0.6,0.5,no,5
meet,Visual,3.166666667,2.5,1.666666667,0.166666667,0.166666667,0.391304348,no,6
mope,Auditory,1.2,1.2,2,0.6,0.8,0.24137931,yes,5
move,Haptic,2.8,3,1.4,0.8,0.6,0.279069767,no,5
narrate,Auditory,3.5,0.5,4,0,0.166666667,0.489795918,yes,6
negotiate,Visual,3.111111111,1.444444444,2.444444444,0.444444444,0,0.417910448,yes,9
nibble,Gustatory,1.142857143,1.142857143,0.142857143,4.285714286,0.571428571,0.568627451,no,7
nose,Olfactory,0.8,1,0.4,0.6,3,0.448275862,no,5
note,Visual,1.571428571,1.428571429,1,0,0,0.392857143,no,7
notice,Visual,4.777777778,2.333333333,3.444444444,1.888888889,2.888888889,0.188405797,no,9
nudge,Haptic,1.909090909,3.818181818,0,0,0,0.666666667,no,11
observe,Visual,4.833333333,0.5,2.166666667,0.666666667,0.833333333,0.481481481,yes,6
ogle,Visual,4.4,0.4,1,0,0,0.75862069,no,5
outlive,Visual,2.333333333,1,1.166666667,0.5,0.5,0.333333333,yes,6
overhear,Auditory,0.166666667,0,4.833333333,0,0,0.966666667,yes,6
oversee,Visual,4.666666667,1,2.666666667,0.166666667,0.333333333,0.509433962,yes,6
palpate,Haptic,0.625,4.625,0.625,0,0,0.787234043,no,8
partake,Visual,2.833333333,2,2,2.333333333,1.5,0.125,no,6
pat,Haptic,1,4.4,0,0,0,0.814814815,no,5
patronize,Auditory,1.2,0.4,1.8,0.2,0.2,0.421052632,yes,5
paw,Haptic,1.285714286,4.857142857,0,0,0,0.790697674,no,7
peal,Haptic,2,2.75,0.625,0.25,0.75,0.392156863,no,8
peep,Visual,3.833333333,0,1.666666667,0,0,0.696969697,no,6
peer,Visual,4.333333333,0.666666667,0.666666667,0.111111111,0.111111111,0.716981132,no,9
perceive,Visual,4.166666667,2.5,3.666666667,2.666666667,2.833333333,0.105263158,no,6
perfume,Olfactory,0.333333333,0.333333333,0.333333333,0.666666667,4.5,0.675675676,no,6
pet,Haptic,1.166666667,4.666666667,0.333333333,0,0,0.756756757,no,6
poke,Haptic,1.857142857,4.142857143,0,0,0,0.69047619,no,7
prattle,Auditory,0,0.25,2,0,0,0.888888889,no,4
present,Visual,2.857142857,1.142857143,0.857142857,0,0,0.588235294,yes,7
process,Visual,1.833333333,1.5,1.666666667,0.5,0.5,0.222222222,yes,6
prohibit,Visual,1.5,1,1,0,0,0.428571429,yes,6
prove,Auditory,2.428571429,0.428571429,2.571428571,0.428571429,0.428571429,0.340909091,yes,7
publish,Visual,2.5,2,0.833333333,0,0,0.46875,yes,6
quack,Auditory,0.166666667,0,2.666666667,0,0,0.941176471,no,6
question,Auditory,2.2,1.4,3.2,0.4,0.4,0.368421053,yes,5
rattle,Auditory,2.222222222,2.222222222,3.555555556,0,0,0.444444444,no,9
reach,Haptic,3.166666667,4,0.333333333,0,0,0.533333333,no,6
receive,Haptic,1.857142857,3.285714286,1,0.714285714,0.714285714,0.339622642,yes,7
recognize,Visual,3.666666667,1.5,1.666666667,0.333333333,0.333333333,0.444444444,yes,6
redecorate,Visual,4.333333333,2.166666667,0,0,0.5,0.619047619,yes,6
reek,Olfactory,0.333333333,0.111111111,0,0.333333333,4.666666667,0.857142857,no,9
regard,Visual,3.666666667,0.5,2,0.5,0.166666667,0.512195122,no,6
reinforce,Haptic,1.333333333,2.833333333,0.666666667,0.333333333,0.166666667,0.5,yes,6
release,Haptic,0.833333333,2.666666667,0.333333333,0.333333333,0.333333333,0.518518519,yes,6
relish,Gustatory,0.571428571,1,0.571428571,2,0.714285714,0.294117647,no,7
remark,Auditory,0.142857143,0,2.714285714,0,0,0.95,no,7
resemble,Visual,4.625,1.875,2.375,1,0.875,0.348837209,no,8
resonate,Auditory,1,1,3.111111111,0,0.333333333,0.571428571,no,9
resound,Auditory,0.375,0.125,3.5,0.125,0.125,0.794117647,no,8
reverberate,Auditory,0,0.285714286,3.428571429,0,0,0.923076923,no,7
review,Visual,3,0.8,1.8,0.4,0.6,0.393939394,yes,5
roar,Auditory,0,0.166666667,1.833333333,0,0,0.916666667,no,6
rub,Haptic,0.857142857,5,0.142857143,0,0,0.833333333,no,7
rumble,Auditory,0.666666667,2.333333333,3.166666667,1,0.166666667,0.409090909,no,6
sample,Gustatory,2,2,1.636363636,3.545454545,2,0.170731707,no,11
savor,Gustatory,1.909090909,0.909090909,0.363636364,4.636363636,1.818181818,0.443396226,no,11
savour,Gustatory,1.2,0.8,0.8,4.4,2.6,0.367346939,no,5
say,Auditory,1.8,0.6,2.8,1,0.4,0.363636364,yes,5
scan,Visual,4.666666667,1,1.833333333,0.666666667,0.666666667,0.452830189,no,6
scent,Olfactory,0,0,0,0.285714286,5,0.945945946,no,7
scrutinize,Visual,4.833333333,1.833333333,2.333333333,1,1.166666667,0.343283582,no,6
search,Visual,4.857142857,2,1.857142857,0.142857143,1.285714286,0.464788732,yes,7
secure,Haptic,3.5,4,1.166666667,0,0,0.461538462,yes,6
see,Visual,5,0.571428571,0,0,0,0.897435897,no,7
seem,Visual,3.25,1.625,1.625,0.75,0.625,0.333333333,no,8
sense,Haptic,3,3.571428571,3.571428571,2.285714286,2.714285714,0.08490566,no,7
shout,Auditory,0.333333333,0.166666667,4,0,0,0.888888889,no,6
shriek,Auditory,1,1.4,4,0.4,0,0.588235294,no,5
sight,Visual,4.714285714,0,0,0,0,1,no,7
signify,Visual,2.5,1.666666667,1.333333333,0,0.166666667,0.441176471,yes,6
sing,Auditory,1.333333333,0.166666667,4.5,0.166666667,0.333333333,0.666666667,no,6
sip,Gustatory,0,1.444444444,0,4.666666667,0.333333333,0.724137931,no,9
sit,Haptic,1.428571429,2.428571429,0,0,0,0.62962963,yes,7
slam,Haptic,2.181818182,3.545454545,2.272727273,0,0,0.443181818,no,11
slip,Haptic,1.5,3.5,0.166666667,0,0,0.677419355,no,6
smack,Haptic,1.666666667,4.5,0.666666667,0,0,0.658536585,no,6
smell,Olfactory,0.333333333,0.333333333,0.166666667,1.333333333,5,0.674418605,no,6
smooth,Haptic,2,4.666666667,0,0.166666667,0,0.682926829,no,6
snap,Haptic,0.3,3.7,3.2,0,0,0.513888889,no,10
sniff,Olfactory,0.5,0,0.166666667,0.666666667,4.833333333,0.783783784,no,6
snort,Olfactory,0,0.857142857,1.857142857,0.714285714,2.571428571,0.428571429,no,7
snuff,Haptic,0.8,2.6,0.2,0.4,1.8,0.413793103,no,5
sound,Auditory,0.333333333,0.666666667,4.333333333,0.166666667,0.166666667,0.735294118,no,6
spot,Visual,5,0.333333333,0.222222222,0,0,0.9,no,9
spy,Visual,4.666666667,0.833333333,4.666666667,0,0.5,0.4375,no,6
squawk,Auditory,0,0,2.888888889,0,0,1,no,9
squeal,Auditory,0,0,3.428571429,0,0,1,yes,7
stabilize,Haptic,1.222222222,3.111111111,0.222222222,0.222222222,0.222222222,0.577777778,yes,9
stage,Visual,4.6,2.6,1,0,0,0.56097561,yes,5
stalk,Visual,4,0.857142857,2.428571429,0,0.142857143,0.538461538,yes,7
stare,Visual,4.833333333,0,0,0,0,1,no,6
stench,Olfactory,0.166666667,0.166666667,0.166666667,1,3.833333333,0.6875,no,6
stink,Olfactory,0.181818182,0,0,0.545454545,5,0.873015873,no,11
strike,Haptic,1.5,4,0.5,0,0,0.666666667,no,6
string,Haptic,1,3.285714286,0.571428571,0,0,0.676470588,yes,7
stroke,Haptic,1,4.636363636,0,0,0,0.822580645,no,11
struggle,Haptic,1.666666667,3.333333333,1.333333333,0,0.166666667,0.512820513,yes,6
study,Visual,4.111111111,0.666666667,1.333333333,0,0,0.672727273,no,9
suck,Gustatory,0.8,2.8,0.4,3.8,0.8,0.395348837,no,5
suffer,Haptic,2,2.833333333,1.333333333,0.166666667,0.166666667,0.41025641,no,6
suffice,Visual,1.8,0.6,1.6,0.6,0.4,0.28,yes,5
suggest,Auditory,2.111111111,0.555555556,3,0.111111111,0,0.519230769,no,9
survey,Visual,3.6,2,1.4,0.4,0.6,0.4,no,5
sweep,Visual,3.428571429,2.714285714,1,0,0.142857143,0.470588235,no,7
swill,Gustatory,0.666666667,1.5,0.166666667,2.666666667,1.166666667,0.405405405,no,6
swoop,Haptic,1.5,2.333333333,1.166666667,0.166666667,0.333333333,0.393939394,yes,6
tap,Haptic,1.6,4.4,0.6,0.2,0.8,0.552631579,no,5
taste,Gustatory,0.222222222,0.444444444,0,5,1.555555556,0.692307692,no,9
test,Visual,3.166666667,3.166666667,2.5,2,1.666666667,0.12,no,6
thicken,Haptic,2.272727273,3.090909091,0,1,0.090909091,0.478873239,yes,11
threaten,Visual,3.272727273,1.363636364,2.454545455,0,0.090909091,0.455696203,yes,11
thud,Haptic,0.5,2.666666667,2.333333333,0.166666667,0.166666667,0.428571429,no,6
thumb,Haptic,1.333333333,3,0.666666667,0.666666667,0.5,0.405405405,no,6
thump,Haptic,1,3.6,1.7,0.1,0.1,0.538461538,no,10
toll,Visual,2.25,2.25,2.25,0,0,0.333333333,no,4
toot,Auditory,1,2,2.833333333,0.166666667,0.333333333,0.421052632,no,6
touch,Haptic,1.6,5,0.2,0.2,0.2,0.666666667,no,5
travel,Visual,3.857142857,1.714285714,1.571428571,1.571428571,1.428571429,0.23943662,yes,7
trigger,Auditory,2.666666667,1.888888889,3,1.444444444,2,0.141414141,yes,9
trumpet,Auditory,0.888888889,1.222222222,3.111111111,0.444444444,0,0.549019608,no,9
try,Haptic,1.833333333,2.5,1.333333333,1.5,0.666666667,0.234042553,no,6
tweak,Haptic,1.444444444,3.555555556,1.444444444,0.555555556,0.555555556,0.397058824,yes,9
twist,Haptic,2.333333333,4.666666667,0.166666667,0,0,0.651162791,yes,6
undergo,Haptic,1.666666667,2.166666667,0.666666667,0.166666667,0.333333333,0.4,no,6
use,Haptic,2.4,3.4,2,0.2,1,0.355555556,no,5
vacate,Haptic,0.333333333,1.333333333,0.166666667,0,0,0.727272727,yes,6
view,Visual,5,0.166666667,1,0,0.166666667,0.789473684,no,6
vomit,Gustatory,0.833333333,1.333333333,1.166666667,3.5,2,0.301886792,yes,6
watch,Visual,5,0,1.571428571,0,0,0.760869565,no,7
whiff,Olfactory,0.5,0.833333333,0.166666667,1,4.333333333,0.609756098,no,6
whine,Auditory,0.285714286,0.571428571,3.714285714,0,0,0.8125,no,7
whisper,Auditory,0.333333333,0,4.166666667,0,0,0.925925926,no,6
witness,Visual,5,0.181818182,1.090909091,0.090909091,0.181818182,0.75,no,11
work,Visual,3.5,3.333333333,2,0.666666667,0.666666667,0.278688525,yes,6
zap,Haptic,1,2.727272727,1.181818182,0.090909091,0.181818182,0.50877193,yes,11
